district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Chisholm,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-205.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-205.htm,"GARLAND, Carina",Australian Labor Party,109851,96518,4763,101281,92.2,12378,"GARLAND, Carina",Australian Labor Party,38692,"GARLAND, Carina",Australian Labor Party,54448,"LIU, Gladys",Liberal,42070,12378,False,15756
Clark,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-319.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-319.htm,"WILKIE, Andrew",Independent,74697,65894,2924,68818,92.13,27442,"WILKIE, Andrew",Independent,30005,"WILKIE, Andrew",Independent,46668,"DAVIS, Simon",Australian Labor Party,19226,27442,False,16663
Cook,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-112.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-112.htm,"MORRISON, Scott",Liberal,110221,97817,4498,102315,92.83,24343,"MORRISON, Scott",Liberal,54322,"MORRISON, Scott",Liberal,61080,"EARLE, Simon",Labor,36737,24343,False,6758
Cooper,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-320.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-320.htm,"KEARNEY, Ged",Australian Labor Party,108610,93750,4169,97919,90.16,16262,"KEARNEY, Ged",Australian Labor Party,38754,"KEARNEY, Ged",Australian Labor Party,55006,"LIDDLE, Celeste",The Greens,38744,16262,False,16252
Corangamite,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-328.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-328.htm,"COKER, Libby",Australian Labor Party,112645,100967,4088,105055,93.26,15353,"COKER, Libby",Australian Labor Party,38573,"COKER, Libby",Australian Labor Party,58160,"ASHER, Stephanie",Liberal,42807,15353,False,19587
Corio,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-208.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-208.htm,"MARLES, Richard",Australian Labor Party,112517,96944,5341,102285,90.91,24894,"MARLES, Richard",Australian Labor Party,40846,"MARLES, Richard",Australian Labor Party,60919,"PATEL, Manish",Liberal,36025,24894,False,20073
Cowan,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-237.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-237.htm,"ALY, Anne",Australian Labor Party,122611,99684,8039,107723,87.86,21566,"ALY, Anne",Australian Labor Party,46712,"ALY, Anne",Australian Labor Party,60625,"CONNELLY, Vince",Liberal,39059,21566,False,13913
Cowper,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-113.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-113.htm,"CONAGHAN, Pat",The Nationals,129688,111236,5770,117006,90.22,5172,"CONAGHAN, Pat",The Nationals,43909,"CONAGHAN, Pat",The Nationals,58204,"HEISE, Caz",Independent,53032,5172,False,14295
Cunningham,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-114.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-114.htm,"BYRNES, Alison",Australian Labor Party,117169,101671,5514,107185,91.48,29895,"BYRNES, Alison",Labor,40783,"BYRNES, Alison",Labor,65783,"UREN, Marcus",Liberal,35888,29895,False,25000
Curtin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-238.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-238.htm,"CHANEY, Kate",Independent,119268,105037,3373,108410,90.9,2657,"HAMMOND, Celia",Liberal,43408,"CHANEY, Kate",Independent,53847,"HAMMOND, Celia",Liberal,51190,2657,True,22905
