district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
South Barwon,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/southbarwondistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionsouthbarwondistrict.html,"CHEESEMAN, Darren",AUSTRALIAN LABOR PARTY,54245,48334,2275,50609,93.3,,"KATOS, Andrew",LIBERAL,18180,"CHEESEMAN, Darren",AUSTRALIAN LABOR PARTY,26389,"KATOS, Andrew",LIBERAL,21945,4444,True,8386
South-West Coast,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/south-westcoastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionsouth-westcoastdistrict.html,"BRITNELL, Roma",LIBERAL,47500,41065,2943,44008,92.65,,"BRITNELL, Roma",LIBERAL,13297,"BRITNELL, Roma",LIBERAL,21483,"GASTON, Kylie",AUSTRALIAN LABOR PARTY,19582,1901,False,8186
St Albans,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/stalbansdistrict.html,,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,46678,37464,2927,40391,86.53,,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,22355,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,26326,"LUU, Trung",LIBERAL,10475,15851,False,3971
Sunbury,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sunburydistrict.html,,"BULL, Josh",AUSTRALIAN LABOR PARTY,45588,38955,2476,41431,90.88,,"BULL, Josh",AUSTRALIAN LABOR PARTY,22749,"BULL, Josh",AUSTRALIAN LABOR PARTY,25011,"MARR, Cassandra",LIBERAL,13868,11143,False,2262
Sydenham,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sydenhamdistrict.html,,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,50841,43101,3329,46430,91.32,,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,26264,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,29018,"KERR, Maria",LIBERAL,13743,15275,False,2754
Tarneit,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/tarneitdistrict.html,,"CONNOLLY, Sarah",AUSTRALIAN LABOR PARTY,53882,44635,3432,48067,89.21,,"CONNOLLY, Sarah",AUSTRALIAN LABOR PARTY,25084,"CONNOLLY, Sarah",AUSTRALIAN LABOR PARTY,30525,"GOODFELLOW, Glenn",LIBERAL,14350,16175,False,5441
Thomastown,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/thomastowndistrict.html,,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,44619,34685,4847,39532,88.6,,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,21397,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,26639,"SINGH, Gurdawar",LIBERAL,7873,18766,False,5242
Warrandyte,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/warrandytedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwarrandytedistrict.html,"SMITH, Ryan",LIBERAL,43282,37884,1909,39793,91.94,,"SMITH, Ryan",LIBERAL,18852,"SMITH, Ryan",LIBERAL,19232,"MCGRATH, Elizabeth",AUSTRALIAN LABOR PARTY,13824,5408,False,380
Wendouree,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/wendoureedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwendoureedistrict.html,"ADDISON, Juliana",AUSTRALIAN LABOR PARTY,43575,37691,2246,39937,91.65,,"ADDISON, Juliana",AUSTRALIAN LABOR PARTY,18616,"ADDISON, Juliana",AUSTRALIAN LABOR PARTY,19292,"JOHNSON, Amy",LIBERAL,13779,5513,False,676
Werribee,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/werribeedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwerribeedistrict.html,"PALLAS, Tim AUSTRALIAN LABOR PARTY Werribee District Map - Small Werribee District Map - Detailed Recheck votes Scroll sideways for more>> Total Enrolment as at close of rolls: 46282 Formal Votes: 38622 Informal Votes: 2796 (6.75% of the total votes) Total Votes: 41418 (89.49% of the total enrolment as at the close of rolls rechecked) Recheck first preference votes Scroll sideways for more>> Candidate Party 1st pref votes % of 1st pref votes PALLAS, Tim AUSTRALIAN LABOR PARTY 17539 45.41% LY, Thanh Nga 346 0.90% SHARMA, Pratibha 628 1.63% CARLING-JENKINS, Rachel 2086 5.40% GARRA, Joe 7685 19.90% DESSI, Jay AUSTRALIAN GREENS 2522 6.53% BREAKWELL, Kathryn LABOUR DLP 1175 3.04% MURPHY, Gayle LIBERAL 6641 17.19% Recheck results by voting centre for Werribee District Primary results by voting centre for Werribee District (Excel) Results after distribution of preferences Scroll sideways for more>> Candidate Party Votes after distribution % votes PALLAS, Tim AUSTRALIAN LABOR PARTY 20133 52.13% GARRA, Joe 10014 25.93% MURPHY, Gayle LIBERAL 8475 21.94% Distributions Full distribution of preferences For information purposes, we have continued the count excluding the",Liberal,46282,38622,2796,41418,89.49,,"PALLAS, Tim",AUSTRALIAN LABOR PARTY,17539,"PALLAS, Tim",AUSTRALIAN LABOR PARTY,20133,"GARRA, Joe",Independent,10014,10119,False,2594
Williamstown,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/williamstowndistrict.html,,"HORNE, Melissa",AUSTRALIAN LABOR PARTY,50919,43370,2173,45543,89.44,,"HORNE, Melissa",AUSTRALIAN LABOR PARTY,21839,"HORNE, Melissa",AUSTRALIAN LABOR PARTY,31273,"JOSHI, Pallavee",LIBERAL,12118,19155,False,9434
Yan Yean,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yanyeandistrict.html,,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,58159,49204,3987,53191,91.46,,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,26717,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,32999,"KLEIN, Meralyn",LIBERAL,16234,16765,False,6282
Yuroke,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yurokedistrict.html,,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,58068,47995,3549,51544,88.76,,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,28519,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,33730,"OVEREND, Jim",LIBERAL,14278,19452,False,5211
