district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Gladstone,https://results.elections.qld.gov.au/state2020/gladstone,https://results.elections.qld.gov.au/state2020/gladstone/preference,"BUTCHER, Glenn",Australian Labor Party (State of Queensland),33589,28618,924,29542,87.95,14310,"BUTCHER, Glenn",Australian Labor Party (State of Queensland),18429,"BUTCHER, Glenn",Australian Labor Party (State of Queensland),21030,"HARDING, Ron",Liberal National Party of Queensland,7588,13442,False,2601
Glass House,https://results.elections.qld.gov.au/state2020/glasshouse,https://results.elections.qld.gov.au/state2020/glasshouse/preference,"POWELL, Andrew",Liberal National Party of Queensland,34748,30447,1083,31530,90.74,15224,"POWELL, Andrew",Liberal National Party of Queensland,12265,"POWELL, Andrew",Liberal National Party of Queensland,15706,"HAMPSTEAD, Brent",Australian Labor Party (State of Queensland),14741,965,False,3441
Greenslopes,https://results.elections.qld.gov.au/state2020/greenslopes,https://results.elections.qld.gov.au/state2020/greenslopes/preference,"KELLY, Joe",Australian Labor Party (State of Queensland),37368,32481,640,33121,88.63,16241,"KELLY, Joe",Australian Labor Party (State of Queensland),13426,"KELLY, Joe",Australian Labor Party (State of Queensland),20529,"NEWBOLD, Andrew",Liberal National Party of Queensland,11952,8577,False,7103
Gregory,https://results.elections.qld.gov.au/state2020/gregory,https://results.elections.qld.gov.au/state2020/gregory/preference,"MILLAR, Lachlan",Liberal National Party of Queensland,24785,20673,577,21250,85.74,10337,"MILLAR, Lachlan",Liberal National Party of Queensland,11197,"MILLAR, Lachlan",Liberal National Party of Queensland,13902,"KERRIGAN, Dave",Australian Labor Party (State of Queensland),6771,7131,False,2705
Gympie,https://results.elections.qld.gov.au/state2020/gympie,https://results.elections.qld.gov.au/state2020/gympie/preference,"PERRETT, Tony",Liberal National Party of Queensland,39141,33172,1676,34848,89.03,16587,"PERRETT, Tony",Liberal National Party of Queensland,14071,"PERRETT, Tony",Liberal National Party of Queensland,19402,"WILLIAMS, Geoff",Australian Labor Party (State of Queensland),13770,5632,False,5331
Hervey Bay,https://results.elections.qld.gov.au/state2020/herveybay,https://results.elections.qld.gov.au/state2020/herveybay/preference,"TANTARI, Adrian",Australian Labor Party (State of Queensland),39626,33878,1247,35125,88.64,16940,"TANTARI, Adrian",Australian Labor Party (State of Queensland),13382,"TANTARI, Adrian",Australian Labor Party (State of Queensland),17625,"COLEMAN, Steve",Liberal National Party of Queensland,16253,1372,False,4243
Hill,https://results.elections.qld.gov.au/state2020/hill,https://results.elections.qld.gov.au/state2020/hill/preference,"KNUTH, Shane",Katter's Australian Party (KAP),37987,32251,1179,33430,88.0,16126,"KNUTH, Shane",Katter's Australian Party (KAP),16970,"KNUTH, Shane",Katter's Australian Party (KAP),23398,"HODGKINS, Michael",Australian Labor Party (State of Queensland),8853,14545,False,6428
Hinchinbrook,https://results.elections.qld.gov.au/state2020/hinchinbrook,https://results.elections.qld.gov.au/state2020/hinchinbrook/preference,"DAMETTO, Nick",Katter's Australian Party (KAP),35050,29438,1053,30491,86.99,14720,"DAMETTO, Nick",Katter's Australian Party (KAP),12522,"DAMETTO, Nick",Katter's Australian Party (KAP),19064,"PIPER, Scott",Liberal National Party of Queensland,10374,8690,False,6542
Inala,https://results.elections.qld.gov.au/state2020/inala,https://results.elections.qld.gov.au/state2020/inala/preference,"PALASZCZUK, Annastacia",Australian Labor Party (State of Queensland),35716,29497,1521,31018,86.85,14749,"PALASZCZUK, Annastacia",Australian Labor Party (State of Queensland),19888,"PALASZCZUK, Annastacia",Australian Labor Party (State of Queensland),23057,"PEROVIC, Miljenka",Liberal National Party of Queensland,6440,16617,False,3169
Ipswich,https://results.elections.qld.gov.au/state2020/ipswich,https://results.elections.qld.gov.au/state2020/ipswich/preference,"HOWARD, Jennifer",Australian Labor Party (State of Queensland),33668,28376,903,29279,86.96,14189,"HOWARD, Jennifer",Australian Labor Party (State of Queensland),14699,"HOWARD, Jennifer",Australian Labor Party (State of Queensland),18876,"O'CONNELL, Scott",Liberal National Party of Queensland,9500,9376,False,4177
Ipswich West,https://results.elections.qld.gov.au/state2020/ipswichwest,https://results.elections.qld.gov.au/state2020/ipswichwest/preference,"MADDEN, Jim",Australian Labor Party (State of Queensland),35994,29977,1252,31229,86.76,14989,"MADDEN, Jim",Australian Labor Party (State of Queensland),15033,"MADDEN, Jim",Australian Labor Party (State of Queensland),19289,"GREEN, Chris",Liberal National Party of Queensland,10688,8601,False,4256
Jordan,https://results.elections.qld.gov.au/state2020/jordan,https://results.elections.qld.gov.au/state2020/jordan/preference,"MULLEN, Charis",Australian Labor Party (State of Queensland),39041,33315,1197,34512,88.4,16658,"MULLEN, Charis",Australian Labor Party (State of Queensland),18471,"MULLEN, Charis",Australian Labor Party (State of Queensland),22356,"MOONEY, Andrew",Liberal National Party of Queensland,10959,11397,False,3885
Kawana,https://results.elections.qld.gov.au/state2020/kawana,https://results.elections.qld.gov.au/state2020/kawana/preference,"BLEIJIE, Jarrod",Liberal National Party of Queensland,36772,31765,1038,32803,89.21,15883,"BLEIJIE, Jarrod",Liberal National Party of Queensland,16148,"BLEIJIE, Jarrod",Liberal National Party of Queensland,18840,"REDPATH, Bill",Australian Labor Party (State of Queensland),12925,5915,False,2692
Keppel,https://results.elections.qld.gov.au/state2020/keppel,https://results.elections.qld.gov.au/state2020/keppel/preference,"LAUGA, Brittany",Australian Labor Party (State of Queensland),37052,32389,973,33362,90.04,16195,"LAUGA, Brittany",Australian Labor Party (State of Queensland),14969,"LAUGA, Brittany",Australian Labor Party (State of Queensland),18018,"DE GROOT, Adrian",Liberal National Party of Queensland,14371,3647,False,3049
Kurwongbah,https://results.elections.qld.gov.au/state2020/kurwongbah,https://results.elections.qld.gov.au/state2020/kurwongbah/preference,"KING, Shane",Australian Labor Party (State of Queensland),36693,31362,1192,32554,88.72,15682,"KING, Shane",Australian Labor Party (State of Queensland),16243,"KING, Shane",Australian Labor Party (State of Queensland),19804,"PETRUS, Kerry",Liberal National Party of Queensland,11558,8246,False,3561
Lockyer,https://results.elections.qld.gov.au/state2020/lockyer,https://results.elections.qld.gov.au/state2020/lockyer/preference,"MCDONALD, Jim",Liberal National Party of Queensland,34938,30258,1091,31349,89.73,15130,"MCDONALD, Jim",Liberal National Party of Queensland,13662,"MCDONALD, Jim",Liberal National Party of Queensland,18616,"BUTLER, Janet",Australian Labor Party (State of Queensland),11642,6974,False,4954
Logan,https://results.elections.qld.gov.au/state2020/logan,https://results.elections.qld.gov.au/state2020/logan/preference,"POWER, Linus",Australian Labor Party (State of Queensland),37695,31019,1205,32224,85.49,15510,"POWER, Linus",Australian Labor Party (State of Queensland),16587,"POWER, Linus",Australian Labor Party (State of Queensland),19663,"PATTISON, Clinton",Liberal National Party of Queensland,11356,8307,False,3076
Lytton,https://results.elections.qld.gov.au/state2020/lytton,https://results.elections.qld.gov.au/state2020/lytton/preference,"PEASE, Joan",Australian Labor Party (State of Queensland),37369,32688,856,33544,89.76,16345,"PEASE, Joan",Australian Labor Party (State of Queensland),17067,"PEASE, Joan",Australian Labor Party (State of Queensland),20708,"WALTERS, Gordon",Liberal National Party of Queensland,11980,8728,False,3641
Macalister,https://results.elections.qld.gov.au/state2020/macalister,https://results.elections.qld.gov.au/state2020/macalister/preference,"MCMAHON, Melissa",Australian Labor Party (State of Queensland),36912,29191,1667,30858,83.6,14596,"MCMAHON, Melissa",Australian Labor Party (State of Queensland),12896,"MCMAHON, Melissa",Australian Labor Party (State of Queensland),17381,"VAN MANEN, Judi",Liberal National Party of Queensland,11810,5571,False,4485
Mackay,https://results.elections.qld.gov.au/state2020/mackay,https://results.elections.qld.gov.au/state2020/mackay/preference,"GILBERT, Julieanne",Australian Labor Party (State of Queensland),38199,31489,1314,32803,85.87,15745,"GILBERT, Julieanne",Australian Labor Party (State of Queensland),14632,"GILBERT, Julieanne",Australian Labor Party (State of Queensland),17862,"BONANNO, Chris",Liberal National Party of Queensland,13627,4235,False,3230
Maiwar,https://results.elections.qld.gov.au/state2020/maiwar,https://results.elections.qld.gov.au/state2020/maiwar/preference,"BERKMAN, Michael",Queensland Greens,38663,34493,478,34971,90.45,17247,"BERKMAN, Michael",Queensland Greens,14254,"BERKMAN, Michael",Queensland Greens,19427,"DAY, Lauren",Liberal National Party of Queensland,15066,4361,False,5173
Mansfield,https://results.elections.qld.gov.au/state2020/mansfield,https://results.elections.qld.gov.au/state2020/mansfield/preference,"MCMILLAN, Corrine",Australian Labor Party (State of Queensland),35064,30898,826,31724,90.47,15450,"MCMILLAN, Corrine",Australian Labor Party (State of Queensland),14256,"MCMILLAN, Corrine",Australian Labor Party (State of Queensland),17551,"WISHART, Janet",Liberal National Party of Queensland,13347,4204,False,3295
Maroochydore,https://results.elections.qld.gov.au/state2020/maroochydore,https://results.elections.qld.gov.au/state2020/maroochydore/preference,"SIMPSON, Fiona",Liberal National Party of Queensland,36020,30132,1327,31459,87.34,15067,"SIMPSON, Fiona",Liberal National Party of Queensland,14426,"SIMPSON, Fiona",Liberal National Party of Queensland,17814,"SMITH, Alison",Australian Labor Party (State of Queensland),12318,5496,False,3388
