district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"ROSE, Brian Benedict",London Real Party,342,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"SCANLON, Nick",Britain First,2174,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"AMIN, Femy",Animal Welfare Party,2158,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"BINFACE, Count",Count Binface Party,1265,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"BLACKIE, Rob",Liberal Democrats,7184,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"CAMPBELL, Natalie Denise",Independent,4512,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"COX, Howard",Reform UK,3636,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"GALLAGHER, Amy",Social Democratic Party,1702,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"GARBETT, Zoë",Green Party,6984,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"GHULATI, Tarun",Independent,2933,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"HALL, Susan Mary",Conservative,66151,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"KHAN, Sadiq",Labour,58743,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"MICHLI, Andreas Christoffi",Independent,1349,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"ROSE, Brian Benedict",London Real Party,486,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Brent and Harrow,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,428775,158085,948,159033,37.09,7408,0,first,,,"SCANLON, Nick",Britain First,982,London,LON24-brent-and-harrow,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
City and East,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,628856,194840,1141,195981,31.16,70351,0,first,,,"AMIN, Femy",Animal Welfare Party,2671,London,LON24-city-and-east,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
City and East,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,628856,194840,1141,195981,31.16,70351,0,first,,,"BINFACE, Count",Count Binface Party,1918,London,LON24-city-and-east,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
City and East,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,628856,194840,1141,195981,31.16,70351,0,first,,,"BLACKIE, Rob",Liberal Democrats,7551,London,LON24-city-and-east,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
