district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"HOLMES, Yvette",Australian Christians,739
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"DA SILVA, Phillip","Shooters, Fishers and Farmers",460
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,1,final,,,"WHITBY, Reece",Australian Labor Party,16480
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,1,final,,,"MBANO, Dylan",Liberal Party,8240
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"KELLY, Dave",Australian Labor Party,13961
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"KUMAR, Ash",Liberal Party,4220
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"MCLENNAN, Renée",Independent,3083
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"GRAY, Callan",The Greens,2854
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"FENECH, Chris",Pauline Hanson's One Nation,1301
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,0,first,,,"KINGSTON, David",Australian Christians,1300
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,1,final,,,"KELLY, Dave",Australian Labor Party,17532
