district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Hillarys,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"COLLINS, Caitlin",Australian Labor Party,33245,28605,977,29582,88.98,14303,"COLLINS, Caitlin",Australian Labor Party,15021,"COLLINS, Caitlin",Australian Labor Party,17201,"OLSSON, Lisa",Liberal Party,11401,5800,False,2180
Jandakot,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PRATT, Stephen",Australian Labor Party,30582,26644,1034,27678,90.5,13323,"PRATT, Stephen",Australian Labor Party,12006,"PRATT, Stephen",Australian Labor Party,15028,"ROBINS, Nicole",Liberal Party,11608,3420,False,3022
Joondalup,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HAMILTON, Emily",Australian Labor Party,33047,27892,1226,29118,88.11,13947,"HAMILTON, Emily",Australian Labor Party,12274,"HAMILTON, Emily",Australian Labor Party,15685,"DUDEK, Michael",Liberal Party,12196,3489,False,3411
Kalamunda,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HORT, Adam",Liberal Party,32864,28298,1093,29391,89.43,14150,"BEALE, Karen",Australian Labor Party,9120,"HORT, Adam",Liberal Party,14178,"BEALE, Karen",Australian Labor Party,14096,82,True,5304
Kalgoorlie,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KENT, Ali",Australian Labor Party,21771,14875,787,15662,71.94,7438,"KENT, Ali",Australian Labor Party,5110,"KENT, Ali",Australian Labor Party,7655,"OLSEN, Rowena",Liberal Party,7188,467,False,2545
Kimberley,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"D'ANNA, Divina",Australian Labor Party,18440,10547,386,10933,59.29,5274,"D'ANNA, Divina",Australian Labor Party,4574,"D'ANNA, Divina",Australian Labor Party,6751,"SPACKMAN, Darren",Liberal Party,3791,2960,False,2177
Kingsley,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"STOJKOVSKI, Jessica",Australian Labor Party,31628,27700,1079,28779,90.99,13851,"STOJKOVSKI, Jessica",Australian Labor Party,11714,"STOJKOVSKI, Jessica",Australian Labor Party,14802,"EDWARDES, Scott",Liberal Party,12888,1914,False,3088
Kwinana,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"COOK, Roger",Australian Labor Party,33651,26002,1626,27628,82.1,13002,"COOK, Roger",Australian Labor Party,15269,"COOK, Roger",Australian Labor Party,19486,"FOORD, Cameron",Liberal Party,6496,12990,False,4217
Landsdale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PASTORELLI, Daniel",Australian Labor Party,32307,27614,1428,29042,89.89,13808,"PASTORELLI, Daniel",Australian Labor Party,13756,"PASTORELLI, Daniel",Australian Labor Party,16444,"MOORE, Marizane",Liberal Party,11163,5281,False,2688
Mandurah,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WILLIAMS, Rhys",Australian Labor Party,32810,25450,1413,26863,81.87,12726,"WILLIAMS, Rhys",Australian Labor Party,11930,"WILLIAMS, Rhys",Australian Labor Party,15144,"SEEBER, Kaye",Liberal Party,10294,4850,False,3214
