district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,7368545,0,7368545,,2716815,0,first,,,Ciro Gomes,Ciro Gomes,693273,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,7368545,0,7368545,,2716815,0,first,,,Other candidates,Other candidates,335277,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,7368545,0,7368545,,2716815,0,first,,,Geraldo Alckmin,Geraldo Alckmin,172900,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Ceará,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Ciro Gomes,Ciro Gomes,0,4880155,0,4880155,,382105,0,first,,,Ciro Gomes,Ciro Gomes,1998597,State,BR-UF-CE,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Ceará,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Ciro Gomes,Ciro Gomes,0,4880155,0,4880155,,382105,0,first,,,Fernando Haddad,Fernando Haddad,1616492,State,BR-UF-CE,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Ceará,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Ciro Gomes,Ciro Gomes,0,4880155,0,4880155,,382105,0,first,,,Jair Bolsonaro,Jair Bolsonaro,1061075,State,BR-UF-CE,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Ceará,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Ciro Gomes,Ciro Gomes,0,4880155,0,4880155,,382105,0,first,,,Other candidates,Other candidates,150834,State,BR-UF-CE,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Ceará,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Ciro Gomes,Ciro Gomes,0,4880155,0,4880155,,382105,0,first,,,Geraldo Alckmin,Geraldo Alckmin,53157,State,BR-UF-CE,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Espírito Santo,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,2049148,0,2049148,,626263,0,first,,,Jair Bolsonaro,Jair Bolsonaro,1122131,State,BR-UF-ES,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Espírito Santo,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,2049148,0,2049148,,626263,0,first,,,Fernando Haddad,Fernando Haddad,495868,State,BR-UF-ES,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Espírito Santo,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,2049148,0,2049148,,626263,0,first,,,Ciro Gomes,Ciro Gomes,195553,State,BR-UF-ES,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Espírito Santo,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,2049148,0,2049148,,626263,0,first,,,Other candidates,Other candidates,156547,State,BR-UF-ES,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Espírito Santo,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,2049148,0,2049148,,626263,0,first,,,Geraldo Alckmin,Geraldo Alckmin,79049,State,BR-UF-ES,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Federal District,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1604517,0,1604517,,670222,0,first,,,Jair Bolsonaro,Jair Bolsonaro,936494,State,BR-UF-DF,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Federal District,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1604517,0,1604517,,670222,0,first,,,Ciro Gomes,Ciro Gomes,266272,State,BR-UF-DF,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Federal District,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1604517,0,1604517,,670222,0,first,,,Fernando Haddad,Fernando Haddad,190508,State,BR-UF-DF,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Federal District,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1604517,0,1604517,,670222,0,first,,,Other candidates,Other candidates,157603,State,BR-UF-DF,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Federal District,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1604517,0,1604517,,670222,0,first,,,Geraldo Alckmin,Geraldo Alckmin,53640,State,BR-UF-DF,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Goiás,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,3264789,0,3264789,,1155151,0,first,,,Jair Bolsonaro,Jair Bolsonaro,1868686,State,BR-UF-GO,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Goiás,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,3264789,0,3264789,,1155151,0,first,,,Fernando Haddad,Fernando Haddad,713535,State,BR-UF-GO,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Goiás,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,3264789,0,3264789,,1155151,0,first,,,Ciro Gomes,Ciro Gomes,280864,State,BR-UF-GO,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Goiás,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,3264789,0,3264789,,1155151,0,first,,,Other candidates,Other candidates,255264,State,BR-UF-GO,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Goiás,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,3264789,0,3264789,,1155151,0,first,,,Geraldo Alckmin,Geraldo Alckmin,146440,State,BR-UF-GO,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Maranhão,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,3366871,0,3366871,,1245081,0,first,,,Fernando Haddad,Fernando Haddad,2062592,State,BR-UF-MA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Maranhão,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,3366871,0,3366871,,1245081,0,first,,,Jair Bolsonaro,Jair Bolsonaro,817511,State,BR-UF-MA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Maranhão,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,3366871,0,3366871,,1245081,0,first,,,Ciro Gomes,Ciro Gomes,282467,State,BR-UF-MA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Maranhão,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,3366871,0,3366871,,1245081,0,first,,,Other candidates,Other candidates,153648,State,BR-UF-MA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Maranhão,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,3366871,0,3366871,,1245081,0,first,,,Geraldo Alckmin,Geraldo Alckmin,50653,State,BR-UF-MA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1634136,0,1634136,,576515,0,first,,,Jair Bolsonaro,Jair Bolsonaro,981119,State,BR-UF-MT,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1634136,0,1634136,,576515,0,first,,,Fernando Haddad,Fernando Haddad,404604,State,BR-UF-MT,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1634136,0,1634136,,576515,0,first,,,Ciro Gomes,Ciro Gomes,91344,State,BR-UF-MT,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1634136,0,1634136,,576515,0,first,,,Other candidates,Other candidates,89571,State,BR-UF-MT,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1634136,0,1634136,,576515,0,first,,,Geraldo Alckmin,Geraldo Alckmin,67498,State,BR-UF-MT,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso do Sul,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1396945,0,1396945,,435709,0,first,,,Jair Bolsonaro,Jair Bolsonaro,769116,State,BR-UF-MS,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso do Sul,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1396945,0,1396945,,435709,0,first,,,Fernando Haddad,Fernando Haddad,333407,State,BR-UF-MS,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso do Sul,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1396945,0,1396945,,435709,0,first,,,Ciro Gomes,Ciro Gomes,112296,State,BR-UF-MS,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso do Sul,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1396945,0,1396945,,435709,0,first,,,Other candidates,Other candidates,91229,State,BR-UF-MS,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Mato Grosso do Sul,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1396945,0,1396945,,435709,0,first,,,Geraldo Alckmin,Geraldo Alckmin,90897,State,BR-UF-MS,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Minas Gerais,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,10987614,0,10987614,,2270090,0,first,,,Jair Bolsonaro,Jair Bolsonaro,5308047,State,BR-UF-MG,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Minas Gerais,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,10987614,0,10987614,,2270090,0,first,,,Fernando Haddad,Fernando Haddad,3037957,State,BR-UF-MG,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Minas Gerais,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,10987614,0,10987614,,2270090,0,first,,,Ciro Gomes,Ciro Gomes,1278819,State,BR-UF-MG,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
