district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,215732,0,215732,0,107867,0,first,,,Ruben Gallego,Democratic,165452,Arizona,0407,official
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,215732,0,215732,0,107867,0,first,,,Joshua Barnett,Republican,50226,Arizona,0407,official
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,215732,0,215732,0,107867,0,first,,,Roxanne Rodriguez,Write-in (Libertarian),51,Arizona,0407,official
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,215732,0,215732,0,107867,0,first,,,J. Travis Kirkham,Write-in (Republican),3,Arizona,0407,official
Arizona 8th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Lesko,Republican,0,422467,0,422467,0,211234,0,first,,,Debbie Lesko,Republican,251633,Arizona,0408,official
Arizona 8th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Lesko,Republican,0,422467,0,422467,0,211234,0,first,,,Michael Muscato,Democratic,170816,Arizona,0408,official
Arizona 8th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Lesko,Republican,0,422467,0,422467,0,211234,0,first,,,Taliban Hendrix,Write-in (Independent),18,Arizona,0408,official
Arizona 9th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Greg Stanton,Democratic,0,352274,0,352274,0,176138,0,first,,,Greg Stanton,Democratic,217094,Arizona,0409,official
Arizona 9th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Greg Stanton,Democratic,0,352274,0,352274,0,176138,0,first,,,Dave Giles,Republican,135180,Arizona,0409,official
Arkansas 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Eric A. “Rick” Crawford,Republican,0,237596,0,237596,0,118799,0,first,,,Eric A. “Rick” Crawford,Republican,237596,Arkansas,0501,uncontested
Arkansas 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,J. French Hill,Republican,0,332503,0,332503,0,166252,0,first,,,J. French Hill,Republican,184093,Arkansas,0502,official
Arkansas 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,J. French Hill,Republican,0,332503,0,332503,0,166252,0,first,,,Joyce Elliott,Democratic,148410,Arkansas,0502,official
Arkansas 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Steve Womack,Republican,0,334262,0,334262,0,167132,0,first,,,Steve Womack,Republican,214960,Arkansas,0503,official
Arkansas 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Steve Womack,Republican,0,334262,0,334262,0,167132,0,first,,,Celeste Williams,Democratic,106325,Arkansas,0503,official
Arkansas 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Steve Womack,Republican,0,334262,0,334262,0,167132,0,first,,,Michael J. Kalagias,Libertarian,12977,Arkansas,0503,official
Arkansas 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bruce Westerman,Republican,0,275035,0,275035,0,137518,0,first,,,Bruce Westerman,Republican,191617,Arkansas,0504,official
Arkansas 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bruce Westerman,Republican,0,275035,0,275035,0,137518,0,first,,,William H. Hanson,Democratic,75750,Arkansas,0504,official
Arkansas 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bruce Westerman,Republican,0,275035,0,275035,0,137518,0,first,,,Frank Gilbert,Libertarian,7668,Arkansas,0504,official
California 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Josh Harder,Democratic,0,302494,0,302494,0,151248,0,first,,,Josh Harder,Democratic,166865,California,0610,official
California 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Josh Harder,Democratic,0,302494,0,302494,0,151248,0,first,,,Ted Howze,Republican,135629,California,0610,official
California 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mark DeSaulnier,Democratic,0,371356,0,371356,0,185679,0,first,,,Mark DeSaulnier,Democratic,271063,California,0611,official
California 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mark DeSaulnier,Democratic,0,371356,0,371356,0,185679,0,first,,,Nisha Sharma,Republican,100293,California,0611,official
California 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Nancy Pelosi,Democratic,0,362950,0,362950,0,181476,0,first,,,Nancy Pelosi,Democratic,281776,California,0612,official
California 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Nancy Pelosi,Democratic,0,362950,0,362950,0,181476,0,first,,,Shahid Buttar,Democratic,81174,California,0612,official
California 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Barbara Lee,Democratic,0,362818,0,362818,0,181410,0,first,,,Barbara Lee,Democratic,327863,California,0613,official
California 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Barbara Lee,Democratic,0,362818,0,362818,0,181410,0,first,,,Nikka Piterman,Republican,34955,California,0613,official
California 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jackie Speier,Democratic,0,351005,0,351005,0,175503,0,first,,,Jackie Speier,Democratic,278300,California,0614,official
California 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jackie Speier,Democratic,0,351005,0,351005,0,175503,0,first,,,Ran S. Petel,Republican,72705,California,0614,official
California 15th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Eric Swalwell,Democratic,0,342701,0,342701,0,171351,0,first,,,Eric Swalwell,Democratic,242991,California,0615,official
California 15th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Eric Swalwell,Democratic,0,342701,0,342701,0,171351,0,first,,,Alison Hayden,Republican,99710,California,0615,official
California 16th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jim Costa,Democratic,0,216729,0,216729,0,108365,0,first,,,Jim Costa,Democratic,128690,California,0616,official
California 16th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jim Costa,Democratic,0,216729,0,216729,0,108365,0,first,,,Kevin Cookingham,Republican,88039,California,0616,official
California 17th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ro Khanna,Democratic,0,297336,0,297336,0,148669,0,first,,,Ro Khanna,Democratic,212137,California,0617,official
California 17th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ro Khanna,Democratic,0,297336,0,297336,0,148669,0,first,,,Ritesh Tandon,Republican,85199,California,0617,official
California 18th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Anna G. Eshoo,Democratic,0,344139,0,344139,0,172070,0,first,,,Anna G. Eshoo,Democratic,217388,California,0618,official
California 18th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Anna G. Eshoo,Democratic,0,344139,0,344139,0,172070,0,first,,,Rishi Kumar,Democratic,126751,California,0618,official
California 19th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Zoe Lofgren,Democratic,0,313027,0,313027,0,156514,0,first,,,Zoe Lofgren,Democratic,224385,California,0619,official
California 19th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Zoe Lofgren,Democratic,0,313027,0,313027,0,156514,0,first,,,Justin James Aguilera,Republican,88642,California,0619,official
California 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Doug LaMalfa,Republican,0,358263,0,358263,0,179132,0,first,,,Doug LaMalfa,Republican,204190,California,0601,official
California 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Doug LaMalfa,Republican,0,358263,0,358263,0,179132,0,first,,,Audrey Denney,Democratic,154073,California,0601,official
California 20th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jimmy Panetta,Democratic,0,308554,0,308554,0,154278,0,first,,,Jimmy Panetta,Democratic,236896,California,0620,official
California 20th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jimmy Panetta,Democratic,0,308554,0,308554,0,154278,0,first,,,Jeff Gorman,Republican,71658,California,0620,official
California 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David G. Valadao,Republican,0,170334,0,170334,0,85168,0,first,,,David G. Valadao,Republican,85928,California,0621,official
California 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David G. Valadao,Republican,0,170334,0,170334,0,85168,0,first,,,TJ Cox,Democratic,84406,California,0621,official
California 22nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Devin Nunes,Republican,0,315139,0,315139,0,157570,0,first,,,Devin Nunes,Republican,170888,California,0622,official
California 22nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Devin Nunes,Republican,0,315139,0,315139,0,157570,0,first,,,Phil Arballo,Democratic,144251,California,0622,official
California 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kevin McCarthy,Republican,0,306118,0,306118,0,153060,0,first,,,Kevin McCarthy,Republican,190222,California,0623,official
California 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kevin McCarthy,Republican,0,306118,0,306118,0,153060,0,first,,,Kim Mangone,Democratic,115896,California,0623,official
California 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Salud O. Carbajal,Democratic,0,362345,0,362345,0,181173,0,first,,,Salud O. Carbajal,Democratic,212564,California,0624,official
California 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Salud O. Carbajal,Democratic,0,362345,0,362345,0,181173,0,first,,,Andy Caldwell,Republican,149781,California,0624,official
California 25th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mike Garcia,Republican,0,338943,0,338943,0,169472,0,first,,,Mike Garcia,Republican,169638,California,0625,official
California 25th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mike Garcia,Republican,0,338943,0,338943,0,169472,0,first,,,Christy Smith,Democratic,169305,California,0625,official
California 26th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Julia Brownley,Democratic,0,344733,0,344733,0,172367,0,first,,,Julia Brownley,Democratic,208856,California,0626,official
California 26th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Julia Brownley,Democratic,0,344733,0,344733,0,172367,0,first,,,Ronda Baldwin-Kennedy,Republican,135877,California,0626,official
California 27th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Judy Chu,Democratic,0,317318,0,317318,0,158660,0,first,,,Judy Chu,Democratic,221411,California,0627,official
California 27th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Judy Chu,Democratic,0,317318,0,317318,0,158660,0,first,,,Johnny J. Nalbandian,Republican,95907,California,0627,official
California 28th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Adam B. Schiff,Democratic,0,336199,0,336199,0,168100,0,first,,,Adam B. Schiff,Democratic,244271,California,0628,official
California 28th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Adam B. Schiff,Democratic,0,336199,0,336199,0,168100,0,first,,,Eric Early,Republican,91928,California,0628,official
California 29th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Tony Cárdenas,Democratic,0,210944,0,210944,0,105473,0,first,,,Tony Cárdenas,Democratic,119420,California,0629,official
California 29th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Tony Cárdenas,Democratic,0,210944,0,210944,0,105473,0,first,,,Angélica Maria Dueñas,Democratic,91524,California,0629,official
California 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jared Huffman,Democratic,0,388755,0,388755,0,194378,0,first,,,Jared Huffman,Democratic,294435,California,0602,official
California 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jared Huffman,Democratic,0,388755,0,388755,0,194378,0,first,,,Dale K. Mensing,Republican,94320,California,0602,official
California 30th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Brad Sherman,Democratic,0,345464,0,345464,0,172733,0,first,,,Brad Sherman,Democratic,240038,California,0630,official
California 30th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Brad Sherman,Democratic,0,345464,0,345464,0,172733,0,first,,,Mark S. Reed,Republican,105426,California,0630,official
California 31st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Pete Aguilar,Democratic,0,286050,0,286050,0,143026,0,first,,,Pete Aguilar,Democratic,175315,California,0631,official
California 31st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Pete Aguilar,Democratic,0,286050,0,286050,0,143026,0,first,,,Agnes Gibboney,Republican,110735,California,0631,official
California 32nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Grace F. Napolitano,Democratic,0,259760,0,259760,0,129881,0,first,,,Grace F. Napolitano,Democratic,172942,California,0632,official
California 32nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Grace F. Napolitano,Democratic,0,259760,0,259760,0,129881,0,first,,,Joshua M. Scott,Republican,86818,California,0632,official
California 33rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ted Lieu,Democratic,0,380428,0,380428,0,190215,0,first,,,Ted Lieu,Democratic,257094,California,0633,official
California 33rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ted Lieu,Democratic,0,380428,0,380428,0,190215,0,first,,,James P. Bradley,Republican,123334,California,0633,official
California 34th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jimmy Gomez,Democratic,0,205346,0,205346,0,102674,0,first,,,Jimmy Gomez,Democratic,108792,California,0634,official
California 34th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jimmy Gomez,Democratic,0,205346,0,205346,0,102674,0,first,,,David Kim,Democratic,96554,California,0634,official
California 35th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Norma J. Torres,Democratic,0,244346,0,244346,0,122174,0,first,,,Norma J. Torres,Democratic,169405,California,0635,official
California 35th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Norma J. Torres,Democratic,0,244346,0,244346,0,122174,0,first,,,Mike Cargile,Republican,74941,California,0635,official
California 36th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Raul Ruiz,Democratic,0,306849,0,306849,0,153425,0,first,,,Raul Ruiz,Democratic,185151,California,0636,official
California 36th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Raul Ruiz,Democratic,0,306849,0,306849,0,153425,0,first,,,Erin Cruz,Republican,121698,California,0636,official
California 37th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Karen Bass,Democratic,0,296621,0,296621,0,148311,0,first,,,Karen Bass,Democratic,254916,California,0637,official
California 37th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Karen Bass,Democratic,0,296621,0,296621,0,148311,0,first,,,Errol Webber,Republican,41705,California,0637,official
California 38th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Linda T. Sánchez,Democratic,0,256206,0,256206,0,128104,0,first,,,Linda T. Sánchez,Democratic,190467,California,0638,official
