district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"ANDERSON, Melissa",Australian Labor Party,Excluded,False,,852
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"BALL, Lauren",Tasmanian Greens,Excluded,False,,838
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"BARNETT, Carol",Tasmanian Greens,Excluded,False,,787
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"HINDS, Adrian",Australian Labor Party,Excluded,False,,735
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"HALL, Tom",Tasmanian Greens,Excluded,False,,711
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"LAYTON-BENNETT, Anne",Tasmanian Greens,Excluded,False,,665
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"WALKER, Tim",Independent,Excluded,False,,571
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"DHINGRA, Roshan",Australian Labor Party,Excluded,False,,443
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"FITTLER, Jack",Tasmanian Greens,Excluded,False,,441
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"BROWN, Mark",Independent,Excluded,False,,436
